어항명,연도,어항주소,위도,경도,인근어항명,인근어항항종,인근어항과의거리,전체가구,전체인구,어업가구,배후어업인구,어촌계명
회진항,1999,전라남도 장흥군 회진면 회진선창길 28,34.48,126.94,노력항,어촌정주어항,4.1,566,1449,266,330,"이회진, 회진"
죽변항,1995,경상북도 울진군 죽변면 죽변항길 124,37.05,129.42,골장항,지방어항,2.8,1853,7248,300,358,"죽변, 봉수"
오산항,1999,경상북도 울진군 원남면 망양정로 124,36.89,129.42,동정항,어촌정주어항,3.5,392,558,96,134,"오산, 무릉, 초산,  덕신"
사동항,1971,경상북도 울진군 기성면 사동1길 206-9,36.83,129.45,기성항,지방어항,2.8,120,210,42,39,"사동2리, 사동3리"
구산항,1991,경상북도 울진군 기성면 구산봉산로 126-4,36.76,129.47,기성항,지방어항,5.4,340,480,98,40,구산리
대진항,1971,경상북도 영덕군 영해면 영덕대게로 2742,36.56,129.43,대진1항,어촌정주어항,1.8,243,399,138,226,"대진1리, 대진2리,  대진3리"
축산항,1971,경상북도 영덕군 축산면 축산항길 75,36.51,129.45,경정2항,어촌정주어항,2.4,681,1263,209,378,축산리
구계항,1971,경상북도 영덕군 남정면 구계1길 6-7,36.32,129.38,부경항,지방어항,4.3,132,257,74,67,구계리
대보항,1971,경상북도 포항시 남구 호미곶면 구만길 292,36.08,129.56,대보1리항,지방어항,1.7,697,1205,265,344,"대보1리, 대보2리,  구만1리, 구만2리"
양포항,1971,경상북도 포항시 남구 장기면 양포항길 91,35.88,129.52,모포항,지방어항,6.1,250,400,100,120,양포리
감포항,1995,경상북도 경주시 감포읍 감포로2길 103,35.81,129.51,전촌항,지방어항,1.9,3474,6501,1138,1901,"감포, 모곡, 선창,  연동, 척사"
읍천항,1971,경상북도 경주시 양남면 양남항구길 46,35.69,129.47,가곡항,지방어항,9.8,611,1210,96,98,"읍천, 죽천, 나아"
현포항,1971,경상북도 울릉군 북면 울릉순환로 2625,37.53,130.83,태하항,지방어항,2.9,256,504,55,97,현포
남양항,1999,경상북도 울릉군 서면 울릉순환로 1310,37.47,130.83,통구미항,지방어항,2.2,385,778,33,144,"남양리, 퉁구미"
저동항,1971,경상북도 울릉군 울릉읍 봉래1길 19-11,37.5,130.91,천부항,지방어항,6.6,1739,3353,259,659,"저동, 신흥"
외포항,1971,경상남도 거제시 장목면 외포5길 62,34.94,128.72,소계항,어촌정주어항,1.3,270,760,75,100,외포
장목항,1981,경상남도 거제시 장목면 장목리,34.99,128.68,물안항,지방어항,3.2,300,800,121,140,장목
능포항,1971,경상남도 거제시 능포로16길 21 ,34.89,128.74,옥림항,어촌정주어항,4.9,4800,13000,36,70,능포
지세포항,1971,경상남도 거제시 일운면 지세포해안로 91,34.83,128.71,와현항(거제),어촌정주어항,2.5,1074,2169,80,86,"지세포, 선창"
구조라항,1971,경상남도 거제시 일운면 구조라로 49,34.8,128.7,망치항,어촌정주어항,3.5,295,618,56,97,구조라
다대다포항,1999,경상남도 거제시 남부면 다대5길 46-1,34.73,128.63,여차항(거제),어촌정주어항,2.6,253,440,115,106,"다대, 다포"
대포근포항,1999,경상남도 거제시 남부면 대포길 77,34.72,128.59,저구항,어촌정주어항,2.6,277,449,86,205,"대포, 근포"
광암항,1991,경상남도 창원시 마산합포구 진동면 해양관광로 164-22 ,35.1,128.5,진동항,지방어항,1.6,564,1369,65,150,광암
원전항,1999,경상남도 창원시 마산합포구 구산면 이순신로 734 ,35.07,128.63,옥계항,지방어항,3.3,141,292,99,147,심리
맥전포항,1975,경상남도 고성군 하일면 춘암1길 130,34.9,128.17,용암포항,어촌정주어항,0.9,145,190,61,51,춘암
남포항,2008,경상남도 고성군 고성읍 공룡로 3070,34.96,128.32,신부항,어촌정주어항,0.8,250,750,170,500,수남
삼덕항,1991,경상남도 통영시 산양읍 산양일주로 1553-20,34.8,128.38,중화항(정주),어촌정주어항,1,467,961,129,178,"삼덕, 원항, 궁항"
능양항,1971,경상남도 통영시 사량면 능양길 45,34.81,128.25,외지항,어촌정주어항,1.5,172,266,87,124,"능양, 백학, 외지"
욕지항,1991,경상남도 통영시 욕지면 욕지일주로 53,34.63,128.27,상리항,어촌정주어항,4.2,469,753,187,232,"옥동산내, 옥동산외, 서부, 자부, 먹청송, 볼곡"
호두항,1999,경상남도 통영시 한산면 호두2길 4-1,34.74,128.5,용초항,어촌정주어항,2.1,119,168,73,62,"호두, 용초"
매물도항,1991,경상남도 통영시 한산면 당금길 33 ,34.65,128.57,내항항,지방어항,12.9,18,42,12,23,매죽
신수항,1971,경상남도 사천시 신수서길 1-48 ,34.9,128.08,대구항,어촌정주어항,1.2,151,304,112,110,"신수도, 대구"
물건항,1986,경상남도 남해군 삼동면 동부대로1030번길 42-26,34.79,128.05,은점항,지방어항,1.3,298,598,44,44,물건
미조항,1971,경상남도 남해군 미조면 미조로 235,34.71,128.05,답하항(남해),어촌정주어항,0.5,737,1705,321,465,"본촌, 사항, 팔랑, 답하"
노량항,2008,경상남도 하동군 금남면 노량해안길 16-1,34.95,127.86,송문항,어촌정주어항,0.7,510,997,169,230,"신노량 , 구노량,  송문"
김녕항,1991,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,33.56,126.74,동김녕항,어촌정주어항,1.9,1112,2788,602,664,김녕
도두항,1976,제주특별자치도 제주시 도두항길 18,33.51,126.47,도두사수항,어촌정주어항,1.6,1363,3052,100,105,도두
신양항,1971,제주특별자치도 제주시 추자면 추자로 576-4,33.94,126.33,보옥항,국가어항,26,296,580,101,123,"신양, 예초, 묵"
모슬포항,1971,제주특별자치도 서귀포시 대정읍 하모항구로 30,33.22,126.25,산이수동항,어촌정주어항,4.4,2642,6442,301,430,하모
위미항,1986,제주특별자치도 서귀포시 남원읍 위미중앙로196번길 6-13,33.27,126.66,하효항,국가어항,5.5,1106,2702,83,105,"위리1리, 위미2리"
