어항명,보고서경도,보고서위도,경도,위도,주소,비고
모서항,126.75,34.2,126.751564,34.202134,전라남도 완도군 청산면 대모도길 22,모서항
모포항,129.53,35.93,129.527343,35.93264,경상북도 포항시 남구 장기면 모포길 111,모포항
몽산포항,126.27,36.67,126.27256,36.6707,충청남도 태안군 남면 몽대로 495-26,몽산포항
무녀도항,126.42,35.81,126.418441,35.806797,전라북도 군산시 옥도면 무녀도길 40,무녀도항
문암1리항,128.55,38.3,128.54988,38.302156,강원도 고성군 죽왕면 문암항길 83-11,문암1리항
문암2리항,128.55,38.3,128.550252,38.295459,강원도 고성군 죽왕면 괘진길 71,문암2리항
물안항,128.65,35,128.649325,35.002381,경상남도 거제시 하청면 칠천로 1098 ,물안항
물치항,128.61,38.16,128.61047,38.154458,강원도 양양군 강현면 동해대로 3580,물치항
미라항,126.67,34.15,126.670522,34.147859,전라남도 완도군 소안면 소안로549번길 7-4,미라항
민락항,129.13,35.15,129.129453,35.153359,부산광역시 수영구 민락수변로 92,민락항
발산항,129.5,36.03,129.503601,36.032831,경상북도 포항시 남구 동해면 호미로2330번길 38,발산항
방석항,129.38,36.23,129.381887,36.232296,경상북도 포항시 북구 송라면 봉화길 183,방석항
방축도항,126.37,35.85,126.378127,35.848567,전라북도 군산시 옥도면 방축도길 97-2,방축도항
방축항,126.49,34.18,126.495324,34.181637,전라남도 완도군 노화읍 넙도길 402-10,방축항
방포항,126.34,36.5,126.335946,36.503479,충청남도 태안군 안면읍 방포항길 64,방포항
백사장항,126.32,36.59,126.316094,36.586138,충청남도 태안군 안면읍 백사장1길 102-17,백사장항
백석항,129.41,36.63,129.413335,36.624447,경상북도 영덕군 병곡면 흰돌로 240,백석항
벌포항,126.37,34.47,126.372454,34.471471,전라남도 진도군 고군면 벌포길 72,벌포항
법성항,126.44,35.36,126.441704,35.358069,전라남도 영광군 법성면 법성포로3길 34,법성항
법환항,126.52,33.24,126.516217,33.237102,제주특별자치도 서귀포시 막숙포로 41번길 7 ,법환항
병곡항,129.41,36.6,129.414465,36.599296,경상북도 영덕군 병곡면 병곡1길 83,병곡항
봉남항,127.49,34.48,127.489119,34.484251,전라남도 고흥군 동일면 봉남동뫼길 39,봉남항
봉포항,128.57,38.25,128.56826,38.251368,강원도 고성군 토성면 토성로 44-8,봉포항
부경항,129.38,36.27,129.37796,36.271498,경상북도 영덕군 남정면 부경길 66,부경항
비안도항,126.46,35.74,126.460148,35.736411,전라북도 군산시 옥도면 비안도길 35,비안도항
사계항,126.31,33.23,126.331122,33.237554,제주특별자치도 서귀포시 안덕면 형제해안로 13,사계항
사구미항,126.58,34.32,126.579961,34.320192,전라남도 해남군 송지면 사구미길 19,사구미항
사리항,125.41,34.64,125.411882,34.644048,전라남도 신안군 흑산면 흑산일주로 1529,사리항
사초항,126.75,34.47,126.753764,34.472823,전라남도 강진군 신전면 운주로 636-10,사초항
삼정항,129.58,36.01,129.57708,36.00765,경상북도 포항시 남구 구룡포읍 일출로90번길 45-1,삼정항
삽시도항,126.36,36.35,126.361816,36.352735,충청남도 보령시 오천면 삽시도1길 199,삽시도항
통섬계항,,,,,전라남도 완도군 보길면 중리,
여항항,,,,,전라남도 완도군 보길면 여항리,
통리항,,,,,전라남도 완도군 보길면 통리,
농암항,,,,,전라남도 완도군 보길면 통리,
북암항,,,,,전라남도 완도군 보길면 통리,
월송항,,,,,전라남도 완도군 보길면 월송리,
등문항,,,,,전라남도 완도군 보길면 정동리,
정자항,,,,,전라남도 완도군 보길면 정자리,
선창항,,,,,전라남도 완도군 보길면 선창리,
예송항,,,,,전라남도 완도군 보길면 예송리,
예작항,,,,,전라남도 완도군 보길면 예작리,
금곡항,,,,,전라남도 완도군 생일면 금곡리,
유촌항,,,,,전라남도 완도군 생일면 유촌리,
굴전항,,,,,전라남도 완도군 생일면 굴전리,
저도항,,,,,전라남도 진도군 진도읍 저도길 30(진도읍 산월리 779-6),
쉬미항,,,,,전라남도 진도군 진도읍 서부해안로 411(진도읍 산월리 631-8),
전두1항,,,,,전라남도 진도군 진도읍 수유리 1010-2,
전두2항,,,,,전라남도 진도군 진도읍 수유리 931-8,
가늠목항,,,,,전라남도 진도군 군내 가는목길(군내 나리 441-3),
신기항,,,,,전라남도 진도군 군내 간석금길(군내 신기리 398-25),
무조항,,,,,전라남도 진도군 군내 서부해안로(군내 신기리 397-57),
녹진항,,,,,전라남도 진도군 군내 명량대첩로(군내 녹진리 89-13),
신동항,,,,,전라남도 진도군 군내 둔전 102-22,
유교항,,,,,전라남도 진도군 고군면 유교길( 고군면 오류리),
연동항,,,,,전라남도 진도군 고군면 고군연동길(고군면 벽파리),
원포뒷개항,,,,,전라남도 진도군 고군면 원포길(고군면 원포리),
넙도항,,,,,전라남도 완도군 고금면 넙도리,
연동항,,,,,전라남도 완도군 고금면 연동리,
황조항,,,,,전라남도 진도군 고군면 황조길(고군면 내산리),
모사항,,,,,전라남도 진도군 고군면 모사길(고군면 향동리),
가계항,,,,,전라남도 진도군 고군면 가계길(고군면 금계리),
회동항,,,,,전라남도 진도군 고군면 회동길(고군면 금계리),
금호도항,,,,,전라남도 진도군 고군면 금호도길(고군면 금계리),
송군항,,,,,전라남도 진도군 의신면 송군길(의신면 초사리),
도목항,,,,,전라남도 진도군 의신면 도목길(의신면 만길리),
도항항,,,,,전라남도 진도군 의신면 도항길(의신면 만길리),
도명항,,,,,전라남도 진도군 의신면 도명길(의신면 만길리),
모도항,,,,,전라남도 진도군 의신면 모도길(의신면 초사리),
원다항,,,,,전라남도 진도군 의신면 원다길(의신면 금갑리),
접도(황모)항,,,,,전라남도 진도군 의신면 황모길(의신면 금갑리),
상구자항,,,,,전라남도 진도군 의신면 구자1길(의신면 구자도리),
하구자항,,,,,전라남도 진도군 의신면구자2길(의신면 구자도리),
강계항,,,,,전라남도 진도군 임회면 헌복동길 10(임회면 죽림리 1178-6),
죽림항,,,,,전라남도 진도군 임회면 죽림길(임회면 죽림리 406-11),
탑립항,,,,,전라남도 진도군 임회면 탑립길(임회면 죽림리 903-5),
귀성항,,,,,전라남도 진도군 임회면 상만길(임회면 귀성리 1070-21),
동령개항,,,,,전라남도 진도군 임회면 동령개길(임회면 굴포리 728-11),
남동항,,,,,전라남도 진도군 임회면 진도대로(임회면 남동리 389-11),
팽목항,,,,,전라남도 진도군 임회면 팽목길(임회면 연동리 1033-3),
마사항,,,,,전라남도 진도군 지산면 수마로 2 (지산면 심동리 325-14),
해미(수양)항,,,,,전라남도 진도군 지산면 수양길74(지산면심동리435-8),
세포항,,,,,전라남도 진도군 지산 가학 629-17(세포길 79),
개초(세방)항,,,,,전라남도 진도군 지산면 세방낙조로353(지산면가학리11-13),
금노항,,,,,전라남도 진도군 지산면 금노길179(지산면와우리774-2),
땅끝(갈두)항,,,,,전라남도 진도군 지산면 보전리 1222(참전복로 104),
거제항,,,,,전라남도 진도군 지산면 거제길은로(지산면 거제리 384-23),
안치항,,,,,전라남도 진도군 지산면 소포리 999-63(안치길 124 부근),
소포항,,,,,전라남도 진도군 지산면 서부해안로 213(지산면 소포리 379-10),
장도항,,,,,전라남도 진도군 지산면 가학장도길1(지산면가학리707),
불도항,,,,,전라남도 진도군 지산 가학 산 213-1(가학불도길),
관매항,,,,,전라남도 진도군 조도 관매도길 179,
각흘항,,,,,전라남도 진도군 조도 관매리,
읍구항,,,,,전라남도 진도군 조도 신육리 읍구길46,
월항항,,,,,전라남도 완도군 소안면 월항리,
북암항,,,,,전라남도 완도군 소안면 북암리,
활목항,,,,,전라남도 진도군 조도 창유리 조도대로1066,
명지항,,,,,전라남도 진도군 조도 창유리 조도대로1066,
곤우항,,,,,전라남도 진도군 조도 창유리 곤우길,
대마항,,,,,전라남도 진도군 조도 대마도길 183-2,
대막항,,,,,전라남도 진도군 조도 대마도길 186-3,
소마항,,,,,전라남도 진도군 조도 소마리,
관사항,,,,,전라남도 진도군 조도 관사 관사도길18,
관작항,,,,,전라남도 진도군 조도 관사도 관작길 20,
라배항,,,,,전라남도 진도군 조도 라배리,
맹성뒷개항,,,,,전라남도 진도군 조도 맹성 맹성길4-1,
당도항,,,,,전라남도 진도군 조도 맹성리,
율목항,,,,,전라남도 진도군 조도 여미 율목길55,
여미항,,,,,전라남도 진도군 조도 여미 여미길39,
성남항,,,,,전라남도 진도군 조도 성남 성남도길11,
소성남항,,,,,전라남도 진도군 조도 성남 성남도길13,
죽항항,,,,,전라남도 진도군 조도 죽항 죽항도길2,
독거항,,,,,전라남도 진도군 조도 독거 독거도길25,
독거슬도항,,,,,전라남도 진도군 조도 독거 독거도길22-1,
독거탄항,,,,,전라남도 진도군 조도 독거리,
독거혈도항,,,,,전라남도 진도군 조도 독거리,
청등항,,,,,전라남도 진도군 조도 청등 청등도길 45,
모도항,,,,,전라남도 진도군 조도 모도 모도길 8,
진목항,,,,,전라남도 진도군 조도 진목 진목도길17,
갈목항,,,,,전라남도 진도군 조도 진목리,
옥도항,,,,,전라남도 진도군 조도 옥도리 옥도길16-6,
눌옥항,,,,,전라남도 진도군 조도 눌옥리 눌옥도길2,
외병항,,,,,전라남도 진도군 조도 외병리 외병도길34,
내병항,,,,,전라남도 진도군 조도 내병리,
동육항,,,,,전라남도 진도군 조도 동거차리 동육길 56-3,
동막항,,,,,전라남도 진도군 조도 동거차리 동막길 30,
모래미(서거차)항,,,,,전라남도 진도군 조도 서거차리 서거차도1길48,
상하죽도항,,,,,전라남도 진도군 조도 서거차리 서거차도1길99,
원포항,,,,,전라남도 진도군 고군면 원포길(고군면 원포리),
마산(새끼미)항,,,,,전라남도 진도군 고군면 마산길(고군면 내산리),
유교항,128.53,34.96,128.530781,34.959523,경상남도 거제시 사등면 가조로 1212 ,유교항
유포항,127.81,34.86,127.812581,34.863766,경상남도 남해군 서면 남서대로 2381번길 82 ,유포항
유호항,128.71,35.03,128.715225,35.02787,경상남도 거제시 장목면 유호1길 61-1 ,유호항
율포항,127.08,34.67,127.08453,34.665689,전라남도 보성군 회천면 남부관광로 2274,율포항
율포항(거제),128.59,34.78,128.592423,34.776842,경상남도 거제시 동부면 거제남서로 2012 ,율포항
은점항,128.05,34.79,128.05228,34.785423,경상남도 남해군 삼동면 동부대로 942번길 27 ,은점항
의성항,127.36,34.29,127.252767,34.223589,전라남도 여수시 삼산면 의성길 6,의성항
이가리항,129.39,36.18,129.386403,36.183997,경상북도 포항시 북구 청하면 해안로2064번길 28-1,이가리항
이동항,129.24,35.27,129.245438,35.270919,부산광역시 기장군 일광면 이동길 13,이동항
이수도항,128.73,34.97,128.724502,34.968572,경상남도 거제시 장목면 이수도길 21-1 ,이수도항
이진목항,126.93,34.45,126.926261,34.448205,전라남도 장흥군 회진면 가학회진로 901,이진목항
자월1리항,126.3,37.25,126.301942,37.253036,인천광역시 옹진군 자월면 자월서로 211-12,자월1리항
잠두항,127.12,34.54,127.117267,34.543958,전라남도 고흥군 도양읍 잠두선창길 18,잠두항
장고도항,126.34,36.39,126.341291,36.391039,충청남도 보령시 오천면 장고도1길 39,장고도항
장곳항,126.33,37.65,126.326564,37.653769,인천광역시 강화군 삼산면 어류정길212번길 102,장곳항
장수항,127.13,34.58,127.133808,34.574551,전라남도 고흥군 도양읍 도양해안로 639-24,장수항
장용항,126.9,34.4,126.89734,34.403279,전라남도 완도군 약산면 장용리 478-7,장용항
장작지항,128.47,34.77,128.47271,34.771774,경상남도 통영시 한산면 한산일주로 1352 ,장작지항
장포항,128.06,34.84,128.065261,34.845285,경상남도 남해군 창선면 흥선로 1505번길 7-25 ,장포항
장환항,127,34.57,127.005595,34.568989,전라남도 장흥군 관산읍 고마장환길 524,장환항
재원항,126.03,35.09,126.030657,35.085601,전라남도 신안군 임자면 재원길 7-3,재원항
적량항,128.06,34.86,128.059203,34.859203,경상남도 남해군 창선면 흥선로 1190 ,적량항
전곡항,126.65,37.19,126.651554,37.187746,경기도 화성시 서신면 전곡항로 5,전곡항
전촌항,129.5,35.79,129.494903,35.791211,경상북도 경주시 감포읍 장진길 39,전촌항
외포항(정포항),126.38,37.7,126.379923,37.700044,인천광역시 강화군 내가면 해안서로 899-2,외포항
제부항,126.62,37.18,126.622517,37.178895,경기도 화성시 서신면 해안길 421-18,제부항
조천항,126.63,33.54,126.634095,33.54074,제주특별자치도 제주시 조천읍 조천북1길 35-8 ,조천항
종달항,126.91,33.5,126.912301,33.496452,제주특별자치도 제주시 구좌읍 해맞이해안로2276,종달항
주문항,126.24,37.65,126.236302,37.654645,인천광역시 강화군 서도면 주문도길 12,주문항
주전항,129.46,35.56,129.457505,35.561565,울산광역시 동구 주전해안길 208,주전항
죽도항,127.3,34.45,127.296116,34.447073,전라남도 고흥군 도화면 대섬길 62,죽도항
죽림항,128.58,34.84,128.579306,34.841446,경상남도 거제시 거제면 죽림길 177 ,죽림항
죽포항,127.24,34.24,127.794086,34.643237,전라남도 여수시 돌산읍 두문포길 85,죽포항
중평항,127.91,34.97,127.909233,34.973156,경상남도 하동군 금남면 중평해안길 141 ,중평항
중항항,128.03,35.06,128.025573,35.056181,경상남도 사천시 곤양면 와티길 95 ,중항항
지경항,129.37,36.26,129.375172,36.260588,경상북도 포항시 북구 송라면 동해대로 3356-20,지경항
지족항,128,34.83,128.001227,34.832749,경상남도 남해군 삼동면 동부대로1876번가길 26,지족항
직산항,129.48,36.73,129.474265,36.725036,경상북도 울진군 평해읍 제장로 46,직산항
진동항,128.48,35.1,128.479934,35.100295,경상남도 창원시 마산합포구 진동면 미더덕로 339,진동항
진리항,126.15,37.22,126.156718,37.227315,인천광역시 옹진군 덕적면 덕적남로 39,진리항
진산항,126.64,34.13,126.644645,34.130027,전라남도 완도군 소안면 소안남로 26-100,진산항
진촌항,128.22,34.84,128.222033,34.842962,경상남도 통영시 사량면 진촌1길 102,진촌항
징의항,126.46,34.52,126.45458,34.522063,전라남도 해남군 황산면 고천암로 795-32,징의항
창리항,126.21,36.37,126.365574,36.625636,충청남도 서산시 부석면 창리2길 66,창리항
창유항,126.05,34.31,126.053259,34.305303,전라남도 진도군 조도면 어류포길 1-4,창유항
영전항,126.6,34.34,126.601195,34.336297,전라남도 해남군 북평면 남전길 54,영전항
영진항,128.85,37.87,128.849075,37.866931,강원도 강릉시 연곡면 해안로 1427,영진항
예포항,128.43,34.94,128.426222,34.940076,경상남도 통영시 광도면 예포길 180 ,예포항
오호항,128.53,38.33,128.529475,38.326083,강원도 고성군 죽왕면 심층수길 36-1,오호항
옥계항,128.61,35.09,128.613318,35.091984,경상남도 창원시 마산합포구 구산면 옥계로 293-38 ,옥계항
옥죽포항,124.71,37.85,124.708206,37.847669,인천광역시 옹진군 대청면 대청북로 129-1,옥죽포항
옹암항,126.89,34.43,126.885793,34.435278,전라남도 장흥군 대덕읍 신리옹암로 428,옹암항
용동항,127.2,34.65,127.196898,34.650657,전라남도 고흥군 도덕면 고흥만로 1140,용동항
용호항,126.36,34.44,126.365351,34.444517,전라남도 진도군 고군면 고군용호길 161-2,용호항
우도항,126.95,33.49,126.950274,33.492677,제주특별자치도 제주시 우도면 우도해안길 73 ,우도항
우동항,129.14,35.16,129.13564,35.162106,부산광역시 해운대구 해운대해변로 20,우동항
우두항,126.87,34.38,126.864397,34.381584,전라남도 완도군 약산면 우두길 221,우두항
우수영항,126.31,34.59,126.309524,34.587744,전라남도 해남군 문내면 우수영안길 90,우수영항
우학항,127.77,34.51,127.769119,34.510022,전라남도 여수시 남면 금오로 889,우학항
울포항,127.07,34.43,127.073629,34.427054,전라남도 완도군 금당면 차우길 7,울포항
원동항,126.65,34.39,126.647375,34.392117,전라남도 완도군 군외면 청해진서로 2180,원동항
원산도항,126.43,36.38,126.433966,36.38383,충청남도 보령시 오천면 원산도1길 56,원산도항
원천항,127.95,34.76,127.947076,34.763323,경상남도 남해군 이동면 남해대로 1553번길 38 ,원천항
월내항,129.28,35.33,129.277855,35.325169,부산광역시 기장군 장안읍 월내해안길 67,월내항
월양항,126.85,34.31,126.854953,34.308001,전라남도 완도군 신지면 월양길 182-46,월양항
월하성항,126.56,36.13,126.563567,36.133753,충청남도 서천군 서면 월하성길 96,월하성항
백포항,,,,,전라남도 여수시 돌산읍 율림리,
도실항,,,,,전라남도 여수시 돌산읍 평사리,
굴전훗자리항,,,,,전라남도 여수시 돌산읍 평사리,
진모항,,,,,전라남도 여수시 돌산읍 평사리,
하동항,,,,,전라남도 여수시 돌산읍 우두리,
세구지항,,,,,전라남도 여수시 돌산읍 우두리,
신추항,,,,,전라남도 여수시 돌산읍 우두리,
백초항,,,,,전라남도 여수시 돌산읍 우두리,
창산항,,,,,전라남도 순천시 별량면 마산리,
우명항,,,,,전라남도 순천시 별량면 학산리,
외망항,,,,,전라남도 광양시 진월면 망덕리,
선소항,,,,,전라남도 광양시 진월면 선소리,
아동항,,,,,전라남도 광양시 진월면 신아리,
신답항,,,,,전라남도 광양시 진월면 신아리,
오추항,,,,,전라남도 광양시 진월면 오사리,
사평항,,,,,전라남도 광양시 진월면 오사리,
돈탁항,,,,,전라남도 광양시 진월면 오사리,
하광항,,,,,전라남도 광양시 광영동 656-7,
선포항,,,,,전라남도 광양시 진월면 진정리,
원동항,,,,,전라남도 광양시다압면 신원리,
은전항,,,,,전라남도 고흥군 도덕면 오마리,
금장항,,,,,전라남도 고흥군 금산면 어전리,
하반항,,,,,전라남도 고흥군 봉래면 하반리,
중봉항,,,,,전라남도 고흥군 도양면 봉암리,
매곡항,,,,,전라남도 고흥군 풍양면 매곡리,
남열항,,,,,전라남도 고흥군 영남면 남열리,
신오항,,,,,전라남도 고흥군 포두면 오취리,
내초항,,,,,전라남도 고흥군 포두면 옥강리,
성두도항,,,,,전라남도 고흥군 포두면 남성리,
대곡항,,,,,전라남도 고흥군 도덕면 가야리,
오마항,,,,,전라남도 고흥군 도덕면 오마리,
우암항,,,,,전라남도 고흥군 영남면 우천리,
단장항,,,,,전라남도 고흥군 도화면 구암리,
대전항,,,,,전라남도 고흥군 두원면 대전리,
풍류항,,,,,전라남도 고흥군 두원면 풍류리,
선정항,,,,,전라남도 고흥군 남양면 월정리,
주암1항,,,,,전라남도 고흥군 남양면 월정리,
장선항,,,,,전라남도 고흥군 대서면 안남리,
송림항,,,,,전라남도 고흥군 대서면 송림리,
하도1항,,,,,전라남도 고흥군 도화면 사덕리,
상동항,,,,,전라남도 고흥군 도화면 구암리,
원도동항,,,,,전라남도 고흥군 도화면 가화리,
장사항,,,,,전라남도 고흥군 대서면 송림리,
신기항,,,,,전라남도 고흥군 대서면 안남리,
덕산항,,,,,전라남도 고흥군 도화면 덕중리,
화옥항,,,,,전라남도 고흥군 도화면 가화리,
당중항,,,,,전라남도 고흥군 도덕면 가야리,
성황항,,,,,전라남도 고흥군 도덕면 가야리,
장예항,,,,,전라남도 고흥군 도양면 용정리,
장계항,,,,,전라남도 고흥군 도양면 장계리,
가상항,,,,,전라남도 고흥군 도덕면 가야리,
남당항,,,,,전라남도 고흥군 풍양면 풍남리,
신촌항,,,,,전라남도 고흥군 도화면 가화리,
사덕항,,,,,전라남도 고흥군 도화면 사덕리,
양화항,,,,,전라남도 고흥군 영남면 양사리,
하도항,,,,,전라남도 고흥군 도화면 사덕리,
강동항,,,,,전라남도 고흥군 풍양면 풍남리,
매동항,,,,,전라남도 고흥군 도양면 봉암리,
신흥항,,,,,전라남도 고흥군 도양면 장계리,
봉산항,,,,,전라남도 고흥군 도화면 봉산리,
독대항,,,,,전라남도 고흥군 과역면 연등리,
분매항,,,,,전라남도 고흥군 도덕면 오마리,
오도항,,,,,전라남도 고흥군 과역면 연등리,
첨도항,,,,,전라남도 고흥군 포두면 오취리,
외백항,,,,,전라남도 고흥군 과역면 백일리,
월하항,,,,,전라남도 고흥군 두원면 풍류리,
도야항,,,,,전라남도 고흥군 과역면 도촌리,
내로항,,,,,전라남도 고흥군 과역면 노일리,
익금항,,,,,전라남도 고흥군 포두면 남성리,
용암항,,,,,전라남도 고흥군 영남면 우천리,
취도항,,,,,전라남도 고흥군 포두면 오취리,
내백항,,,,,전라남도 고흥군 과역면 백일리,
동래도항,,,,,전라남도 고흥군 포두면 옥강리,
화덕항,,,,,전라남도 고흥군 과역면 호덕리,
주암2항,,,,,전라남도 고흥군 남양면 월정리,
나진항,,,,,전라남도 여수시 화양면 나진리,
용주항,,,,,전라남도 여수시 화양면 용주리,
예회항,,,,,전라남도 고흥군 두원면 예회리,
송정항,,,,,전라남도 고흥군 두원면 대전리,
신흥항,,,,,전라남도 고흥군 두원면 대금리,
우두항,,,,,전라남도 고흥군 영남면 우천리,
봉산항,,,,,전라남도 고흥군 도양면 봉암리,
백석항,,,,,전라남도 고흥군 풍양면 매곡리,
금호신항,,,,,전라남도 고흥군 도덕면 용동리,
화도2항,,,,,전라남도 고흥군 도화면 사덕리,
여의천항,,,,,전라남도 고흥군 도화면 가화리,
곡강항,,,,,전라남도 고흥군 점암면 강산리,
죽청항,,,,,전라남도 장흥군 관산읍 죽청리 467-1,
고마항,,,,,전라남도 장흥군 관산읍 고마리 938-2,
지정항,,,,,전라남도 장흥군 관산읍 신동리 25-1,
신당항,,,,,전라남도 장흥군 관산읍 신동리 25-4,
동두항,,,,,전라남도 장흥군 관산읍 신동리 83-9,
사금항,,,,,전라남도 장흥군 관산읍 신동리 83-1,
우산항,,,126.9762,34.51,전라남도 장흥군 관산읍 삼산리 1548-1,
산서항,,,,,전라남도 장흥군 관산읍 삼산리 산87-3,
어은항,,,,,전라남도 장흥군 관산읍 삼산리 산73-7,
송촌항,,,,,전라남도 장흥군 산읍 삼산리 2000-22,
오성금항,,,,,전라남도 장흥군 대덕읍 신리 1131-6,
내저항,,,,,전라남도 장흥군 대덕읍 옹암리 산162,
가학항,,,,,전라남도 장흥군 대덕읍 가학리 1068,
신리항,,,,,전라남도 장흥군 대덕읍 옹암리 336-4,
남포항,,,,,전라남도 장흥군 용산면 상발리 133-4,
상발항,,,,,전라남도 장흥군 용산면 상발리 산172-1,
용곡항,,,,,전라남도 장흥군 안양면 수문리 32-42,
사촌항,,,,,전라남도 장흥군 안양면 사촌리 708-4,
해창항,,,,,전라남도 장흥군 안양면 해창리 95-14,
신상항,,,,,전라남도 장흥군 회진면 신상리 15-14,
신기항,,,,,전라남도 장흥군 회진면 대리 1-3,
대리항,,,,,전라남도 장흥군 회진면 대리 115-10,
장산항,,,,,전라남도 장흥군 회진면 덕산리 79-14,
덕산항,,,,,전라남도 장흥군 회진면 덕산리 2207,
이회진항,,,,,전라남도 장흥군 회진면 회진리 94-11,
안삭금항,,,,,전라남도 장흥군 진면 진목리 195-41,
목리항,,,,,전라남도 강진군 강진읍 목리,
구로항,,,,,전라남도 강진군 칠량면 송로리,
봉황항,,,,,전라남도 강진군 칠량면 봉황리,
덕동항,,,,,전라남도 강진군 칠량면 봉황리,
중저항,,,,,전라남도 강진군 대구면 저두리,
하저항,,,,,전라남도 강진군 대구면 저두리,
미산항,,,,,전라남도 강진군 대구면 사당리,
백사항,,,,,전라남도 강진군 대구면 사당리,
수동항,,,,,전라남도 강진군 대구면 수동리,
구곡항,,,,,전라남도 강진군 대구면 구수리,
남호항,,,,,전라남도 강진군 대구면 구수리,
수인항,,,,,전라남도 강진군 마량면 수인리,
원마항,,,,,전라남도 강진군 마량면 마량리,
숙마항,,,,,전라남도 강진군 마량면 원포리,
하분항,,,,,전라남도 강진군 마량면 상흥리,
신평항,,,,,전라남도 강진군 도암면 만덕리,
송학항,,,,,전라남도 강진군 도암면 학장리,
용산항,,,,,전라남도 강진군 도암면 용흥리,
망호항,,,,,전라남도 강진군 도암면 신기리,
약천항,,,,,전라남도 강진군 신전면 벌정리,
서중항,,,,,전라남도 강진군 마량면 서중리,
관동항,,,,,전라남도 해남군 화산면 관동리 344-14,
구성항,,,,,전라남도 해남군 화산면 평호리 759-5,
사포항,,,,,전라남도 해남군 화산면 평호리 748-16,
흑석항,,,,,전라남도 해남군 화산면 흑석리,
중정항,,,,,전라남도 해남군 화산면 안호리 891-2,
두모항,,,,,전라남도 해남군 현산면 백포리 774-10,
우근항,,,,,전라남도 해남군 송지면 학가리 657-1,
동현항,,,,,전라남도 해남군 송지면 어란리 925-13,
미학항,,,,,전라남도 해남군 송지면 어란리 921-3,
엄남항,,,,,전라남도 해남군 송지면 소죽리 743-15,
중리항,,,,,전라남도 해남군 송지면 송호리 502-4,
송종항,,,,,전라남도 해남군 송지면 송호리 502-4,
갈산항,,,,,전라남도 해남군 송지면 송호리 1220-21,
통호항,,,,,전라남도 해남군 송지면 통호리 797-1,
서홍항,,,,,전라남도 해남군 북평면 서홍리 16-6,
안평항,,,,,전라남도 해남군 북평면 평암리 131-9,
신홍항,,,,,전라남도 해남군 북평면 서홍리 120-2,
묵동항,,,,,전라남도 해남군 북평면 서홍리 263-10,
남성항,,,,,전라남도 해남군 북평면 영전리 1433-12,
왕주항,,,,,전라남도 고흥군 남양면 월정리,
죽암항,,,,,전라남도 고흥군 동강면 죽암리,
성산항,,,,,전라남도 해남군 황산면 부곡리 361-56,
양정항,,,,,전라남도 해남군 문내면 예락리 408-4,
궁항항,,,,,전라남도 해남군 문내면 무고리 1123-6,
증도항,,,,,전라남도 해남군 문내면 무고리 1051-1,
삼정항,,,,,전라남도 해남군 문내면 학동리 173-4,
화봉항,,,,,전라남도 해남군 화원면 화봉리 431-16,
양화항,,,,,전라남도 해남군 화원면 매월리 3-5,
온덕항,,,,,전라남도 해남군 화원면 후산리 1020-12,
구림항,,,,,전라남도 해남군 화원면 구림리 9-7,
금동항,,,,,전라남도 무안군 삼향면 왕산리,
강정항,,,,,전라남도 무안군 청계면 강정리,
내동항,,,,,전라남도 무안군 운남면 내리,
동암항,,,,,전라남도 무안군 운남면 동암리,
영해항,,,,,전라남도 무안군 운남면 동암리,
가입항,,,,,전라남도 무안군 현경면 가입리,
곡지항,,,,,전라남도 무안군 현경면 오류리,
물암항,,,,,전라남도 무안군 해제면 유월리,
만풍항,,,,,전라남도 무안군 해제면 만풍리,
삼봉항,,,,,전라남도 무안군 해제면 송석리,
쥐머리항,,,,,전라남도 무안군 해제면 덕산리,
슬산항,,,,,전라남도 무안군 해제면 덕산리,
백학항,,,,,전라남도 무안군 해제면 학송리,
석용항,,,,,전라남도 무안군 해제면 석용리,
창매항,,,,,전라남도 무안군 해제면 창매리,
석두항,,,,,전라남도 함평군 함평읍 석성리 산223-3 인근,
주포항,,,,,전라남도 함평군 함평읍 석성리 312-89,
석창항,,,,,전라남도 함평군 손불면 석창리 800인근,
월천항,,,,,전라남도 함평군 손불면 월천리 1177-9,
구수항,,,,,전라남도 영광군 백수읍 구수리,
항월항,,,,,전라남도 영광군 홍농읍 칠곡리,
칠곡항,,,,,전라남도 영광군 홍농읍 칠곡리,
월곡항,,,,,전라남도 영광군 홍농읍 칠곡리,
월평항,,,,,전라남도 영광군 염산면 야월리,
창우항,,,,,전라남도 영광군 염산면 두우리,
망남항,,,,,전라남도 완도군 완도읍 망남리,
신기항,,,,,전라남도 완도군 완도읍 신기리,
대가용항,,,,,전라남도 완도군 완도읍 대가용리,
죽청항,,,,,전라남도 완도군 완도읍 죽청리,
장좌항,,,,,전라남도 완도군 완도읍 장좌리,
대야1항,,,,,전라남도 완도군 완도읍 대야1리,
대야2항,,,,,전라남도 완도군 완도읍 대야2리,
망석항,,,,,전라남도 완도군 완도읍 망석리,
중도항,,,,,전라남도 완도군 완도읍 중도리,
정도항,,,,,전라남도 완도군 완도읍 정도리,
대신항,,,,,전라남도 완도군 완도읍 대신리,
대창1항,,,,,전라남도 완도군 군외면 대창1리,
대창2항,,,,,전라남도 완도군 군외면 대창2리,
영풍항,,,,,전라남도 완도군 군외면 영풍리,
불목항,,,,,전라남도 완도군 군외면 불목리,
영흥항,,,,,전라남도 완도군 군외면 영흥리,
